gen_info_scenario_id,technology_id,technology,prime_mover,min_online_year,fuel,connect_cost_dollars_per_mw_generic,heat_rate_mmbtu_per_mwh,construction_time_years,year_1_cost_fraction,year_2_cost_fraction,year_3_cost_fraction,year_4_cost_fraction,year_5_cost_fraction,year_6_cost_fraction,max_age_years,forced_outage_rate,scheduled_outage_rate,intermittent,distributed,resource_limited,baseload,flexible_baseload,dispatchable,cogenerator,min_build_capacity_mw,can_build_new,competes_for_space,ccs,storage,storage_efficiency,max_store_rate,max_spinning_reserve_fraction_of_capacity,heat_rate_penalty_spinning_reserve,minimum_loading,deep_cycling_penalty,startup_mmbtu_per_mw,startup_cost_dollars_per_mw
8,1,CCGT,CC,2010,Gas,61241.1,6.705,2,0.25,0.75,0.00,0.00,0.00,0.00,20,0.0400,0.0600,0,0,0,0,0,1,0,0,1,0,0,0,0.0000,0.00,0.3800,0.3300,0.4000,0.3300,9.16,10.30
8,2,Gas_Combustion_Turbine,GT,2010,Gas,61241.1,10.390,2,0.25,0.75,0.00,0.00,0.00,0.00,20,0.0300,0.0500,0,0,0,0,0,1,0,0,1,0,0,0,0.0000,0.00,0.5000,0.1000,0.0000,0.0000,0.22,0.86
8,4,Wind,WT,2010,Wind,32638.7,0.000,2,0.05,0.95,0.00,0.00,0.00,0.00,30,0.0500,0.0060,1,0,1,0,0,0,0,0,1,0,0,0,0.0000,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0.00
8,5,Offshore_Wind,WT,2010,Wind,32638.7,0.000,2,0.05,0.95,0.00,0.00,0.00,0.00,30,0.0500,0.0060,1,0,1,0,0,0,0,0,1,0,0,0,0.0000,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0.00
8,6,Residential_PV,PV,2010,Solar,0.0,0.000,1,1.00,0.00,0.00,0.00,0.00,0.00,20,0.0000,0.0200,1,1,1,0,0,0,0,0,1,0,0,0,0.0000,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0.00
8,7,CSP_Trough_6h_Storage,ST,2010,Solar,32638.7,0.000,1,1.00,0.00,0.00,0.00,0.00,0.00,20,0.0600,0.0000,1,0,1,0,0,0,0,0,1,1,0,0,0.0000,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0.00
8,8,Bio_Gas,IC,2010,Bio_Gas,61241.1,13.500,1,1.00,0.00,0.00,0.00,0.00,0.00,20,0.1100,0.0400,0,0,1,1,0,0,0,0,1,1,0,0,0.0000,0.00,0.0000,0.0000,1.0000,0.0000,0.00,0.00
8,10,Biomass_IGCC,CC,2010,Bio_Solid,61241.1,12.500,2,0.25,0.75,0.00,0.00,0.00,0.00,40,0.0900,0.0760,0,0,1,1,0,0,0,0,1,1,0,0,0.0000,0.00,0.0000,0.0000,1.0000,0.0000,0.00,0.00
8,11,Coal_IGCC,CC,2010,Coal,61241.1,7.950,2,0.20,0.80,0.00,0.00,0.00,0.00,40,0.0800,0.1200,0,0,0,0,1,0,0,0,1,0,0,0,0.0000,0.00,0.0000,0.0000,0.4000,0.2900,0.00,0.00
8,12,Coal_Steam_Turbine,ST,2010,Coal,61241.1,9.000,2,0.20,0.80,0.00,0.00,0.00,0.00,40,0.0600,0.1000,0,0,0,0,1,0,0,0,1,0,0,0,0.0000,0.00,0.0000,0.0000,0.4000,0.0500,0.00,0.00
8,13,Nuclear,ST,2010,Uranium,61241.1,9.720,6,0.56,0.20,0.14,0.06,0.02,0.02,40,0.0400,0.0600,0,0,0,1,0,0,0,1000,1,0,0,0,0.0000,0.00,0.0000,0.0000,1.0000,0.0000,0.00,0.00
8,14,Geothermal,ST,2010,Geothermal,32638.7,0.000,3,0.20,0.40,0.40,0.00,0.00,0.00,30,0.0075,0.0241,0,0,1,1,0,0,0,0,1,0,0,0,0.0000,0.00,0.0000,0.0000,1.0000,0.0000,0.00,0.00
8,15,Hydro_NonPumped_EP,HY,0,Water,61241.1,,6,0.10,0.20,0.20,0.20,0.20,0.10,30,0.0500,0.0190,0,0,1,0,0,0,0,0,0,0,0,0,0.0000,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0.00
8,16,Hydro_Pumped_EP,PS,0,Water,61241.1,,6,0.10,0.20,0.20,0.20,0.20,0.10,30,0.0300,0.0380,0,0,1,0,0,0,0,0,0,0,0,1,0.7400,1.00,0.0000,0.0000,0.0000,0.0000,0.00,0.00
8,17,Gas_Combustion_Turbine_EP,GT,0,Gas,61241.1,,2,0.25,0.75,0.00,0.00,0.00,0.00,20,0.0300,0.0500,0,0,1,0,0,1,0,0,0,0,0,0,0.0000,0.00,0.5000,0.1000,0.0000,0.0000,0.22,0.86
8,18,Coal_Steam_Turbine_EP,ST,0,Coal,61241.1,,2,0.20,0.80,0.00,0.00,0.00,0.00,40,0.0600,0.1000,0,0,1,0,1,0,0,0,0,0,0,0,0.0000,0.00,0.0000,0.0000,0.7000,0.0500,0.00,0.00
8,19,Gas_Steam_Turbine_EP,ST,0,Gas,61241.1,,2,0.20,0.80,0.00,0.00,0.00,0.00,40,0.1288,0.0915,0,0,1,0,0,1,0,0,0,0,0,0,0.0000,0.00,0.3100,0.0400,0.4000,0.0400,8.92,10.30
8,20,CCGT_EP,CC,0,Gas,61241.1,,2,0.25,0.75,0.00,0.00,0.00,0.00,20,0.0400,0.0600,0,0,1,0,0,1,0,0,0,0,0,0,0.0000,0.00,0.3800,0.3300,0.4000,0.3300,9.16,10.30
8,21,Geothermal_EP,ST,0,Geothermal,61241.1,,3,0.20,0.40,0.40,0.00,0.00,0.00,30,0.0075,0.0241,0,0,1,1,0,0,0,0,0,0,0,0,0.0000,0.00,0.0000,0.0000,1.0000,0.0000,0.00,0.00
8,22,Nuclear_EP,ST,0,Uranium,61241.1,,6,0.56,0.20,0.14,0.06,0.02,0.02,40,0.0400,0.0600,0,0,1,1,0,0,0,0,0,0,0,0,0.0000,0.00,0.0000,0.0000,1.0000,0.0000,0.00,0.00
8,23,Wind_EP,WT,0,Wind,61241.1,,2,0.05,0.95,0.00,0.00,0.00,0.00,30,0.0500,0.0060,1,0,1,0,0,0,0,0,0,0,0,0,0.0000,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0.00
8,24,Gas_Internal_Combustion_Engine_EP,IC,0,Gas,61241.1,,1,1.00,0.00,0.00,0.00,0.00,0.00,20,0.0300,0.0500,0,0,1,0,0,1,0,0,0,0,0,0,0.0000,0.00,0.5000,0.1000,0.0000,0.0000,0.22,0.86
8,25,Commercial_PV,PV,2010,Solar,0.0,0.000,1,1.00,0.00,0.00,0.00,0.00,0.00,20,0.0000,0.0200,1,1,1,0,0,0,0,0,1,0,0,0,0.0000,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0.00
8,26,Central_PV,PV,2010,Solar,32638.7,0.000,1,1.00,0.00,0.00,0.00,0.00,0.00,20,0.0000,0.0200,1,0,1,0,0,0,0,0,1,1,0,0,0.0000,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0.00
8,27,CSP_Trough_No_Storage,ST,2010,Solar,32638.7,0.000,1,1.00,0.00,0.00,0.00,0.00,0.00,20,0.0600,0.0000,1,0,1,0,0,0,0,0,1,1,0,0,0.0000,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0.00
8,28,Compressed_Air_Energy_Storage,CE,2010,Gas,61241.1,4.910,6,0.10,0.20,0.20,0.20,0.20,0.10,30,0.0300,0.0400,0,0,1,0,0,1,0,0,1,0,0,1,0.8170,1.20,0.5000,0.1000,0.0000,0.0000,0.00,0.86
8,29,Gas_Combustion_Turbine_Cogen_EP,GT,0,Gas,61241.1,,2,0.25,0.75,0.00,0.00,0.00,0.00,20,0.0300,0.0500,0,0,1,1,0,0,1,0,0,1,0,0,0.0000,0.00,0.0000,0.0000,1.0000,0.0000,0.00,0.00
8,30,Coal_Steam_Turbine_Cogen_EP,ST,0,Coal,61241.1,,2,0.20,0.80,0.00,0.00,0.00,0.00,40,0.0600,0.1000,0,0,1,1,0,0,1,0,0,1,0,0,0.0000,0.00,0.0000,0.0000,1.0000,0.0000,0.00,0.00
8,31,Gas_Steam_Turbine_Cogen_EP,ST,0,Gas,61241.1,,2,0.20,0.80,0.00,0.00,0.00,0.00,40,0.1288,0.0915,0,0,1,1,0,0,1,0,0,1,0,0,0.0000,0.00,0.0000,0.0000,1.0000,0.0000,0.00,0.00
8,32,CCGT_Cogen_EP,CC,0,Gas,61241.1,,2,0.25,0.75,0.00,0.00,0.00,0.00,20,0.0400,0.0600,0,0,1,1,0,0,1,0,0,1,0,0,0.0000,0.00,0.0000,0.0000,1.0000,0.0000,0.00,0.00
8,33,Battery_Storage,BA,2010,Storage,61241.1,0.000,3,0.80,0.10,0.10,0.00,0.00,0.00,10,0.0200,0.0055,0,0,0,0,0,0,0,0,1,0,0,1,0.7500,1.00,0.0000,0.0000,0.0000,0.0000,0.00,0.00
8,34,CCGT_CCS,CC,2020,Gas_CCS,61241.1,10.080,2,0.25,0.75,0.00,0.00,0.00,0.00,20,0.0400,0.0600,0,0,0,0,0,1,0,0,1,0,1,0,0.0000,0.00,0.3800,0.3300,0.4000,0.3300,9.16,10.30
8,35,Gas_Combustion_Turbine_CCS,GT,2020,Gas_CCS,61241.1,15.620,2,0.25,0.75,0.00,0.00,0.00,0.00,20,0.0300,0.0500,0,0,0,0,0,1,0,0,1,0,1,0,0.0000,0.00,0.5000,0.1000,0.0000,0.0000,0.22,0.86
8,37,Biomass_IGCC_CCS,CC,2020,Bio_Solid_CCS,61241.1,16.321,2,0.25,0.75,0.00,0.00,0.00,0.00,40,0.0900,0.0760,0,0,1,1,0,0,0,0,1,1,1,0,0.0000,0.00,0.0000,0.0000,1.0000,0.0000,0.00,0.00
8,38,Coal_IGCC_CCS,CC,2020,Coal_CCS,61241.1,10.380,2,0.20,0.80,0.00,0.00,0.00,0.00,40,0.0800,0.1200,0,0,0,0,1,0,0,0,1,0,1,0,0.0000,0.00,0.0000,0.0000,0.4000,0.2900,0.00,0.00
8,39,Coal_Steam_Turbine_CCS,ST,2020,Coal_CCS,61241.1,12.100,2,0.20,0.80,0.00,0.00,0.00,0.00,40,0.0600,0.1000,0,0,0,0,1,0,0,0,1,0,1,0,0.0000,0.00,0.0000,0.0000,0.4000,0.0500,0.00,0.00
8,40,Gas_Internal_Combustion_Engine_Cogen_EP,IC,0,Gas,61241.1,,1,1.00,0.00,0.00,0.00,0.00,0.00,20,0.0300,0.0500,0,0,1,1,0,0,1,0,0,1,0,0,0.0000,0.00,0.0000,0.0000,1.0000,0.0000,0.00,0.00
8,60,DistillateFuelOil_Combustion_Turbine_EP,GT,0,DistillateFuelOil,61241.1,,2,0.25,0.75,0.00,0.00,0.00,0.00,20,0.0300,0.0500,0,0,1,0,0,1,0,0,0,0,0,0,0.0000,0.00,0.5000,0.1000,0.0000,0.0000,0.22,0.86
8,61,DistillateFuelOil_Internal_Combustion_Engine_EP,IC,0,DistillateFuelOil,61241.1,,1,1.00,0.00,0.00,0.00,0.00,0.00,20,0.0300,0.0500,0,0,1,0,0,1,0,0,0,0,0,0,0.0000,0.00,0.5000,0.1000,0.0000,0.0000,0.22,0.86
8,80,Bio_Gas_Internal_Combustion_Engine_EP,IC,0,Bio_Gas,61241.1,,1,1.00,0.00,0.00,0.00,0.00,0.00,20,0.1100,0.0400,0,0,1,1,0,0,0,0,0,1,0,0,0.0000,0.00,0.0000,0.0000,1.0000,0.0000,0.00,0.00
8,81,Bio_Gas_Internal_Combustion_Engine_Cogen_EP,IC,0,Bio_Gas,61241.1,,1,1.00,0.00,0.00,0.00,0.00,0.00,20,0.1100,0.0400,0,0,1,1,0,0,1,0,0,1,0,0,0.0000,0.00,0.0000,0.0000,1.0000,0.0000,0.00,0.00
8,82,Bio_Gas_Steam_Turbine_EP,ST,0,Bio_Gas,61241.1,,2,0.20,0.80,0.00,0.00,0.00,0.00,40,0.1288,0.0915,0,0,1,1,0,0,0,0,0,1,0,0,0.0000,0.00,0.0000,0.0000,1.0000,0.0000,0.00,0.00
8,85,Bio_Liquid_Steam_Turbine_Cogen_EP,ST,0,Bio_Liquid,61241.1,,2,0.20,0.80,0.00,0.00,0.00,0.00,40,0.1288,0.0915,0,0,1,1,0,0,1,0,0,1,0,0,0.0000,0.00,0.0000,0.0000,1.0000,0.0000,0.00,0.00
8,90,Bio_Solid_Steam_Turbine_EP,ST,0,Bio_Solid,61241.1,,2,0.20,0.80,0.00,0.00,0.00,0.00,40,0.1288,0.0915,0,0,1,1,0,0,0,0,0,1,0,0,0.0000,0.00,0.0000,0.0000,1.0000,0.0000,0.00,0.00
8,91,Bio_Solid_Steam_Turbine_Cogen_EP,ST,0,Bio_Solid,61241.1,,2,0.20,0.80,0.00,0.00,0.00,0.00,40,0.1288,0.0915,0,0,1,1,0,0,1,0,0,1,0,0,0.0000,0.00,0.0000,0.0000,1.0000,0.0000,0.00,0.00
8,100,Coal_Steam_Turbine_Cogen,ST,2010,Coal,61241.1,,2,0.20,0.80,0.00,0.00,0.00,0.00,40,0.0600,0.1000,0,0,1,1,0,0,1,0,1,1,0,0,0.0000,0.00,0.0000,0.0000,1.0000,0.0000,0.00,0.00
8,101,Gas_Combustion_Turbine_Cogen,GT,2010,Gas,61241.1,,2,0.25,0.75,0.00,0.00,0.00,0.00,20,0.0300,0.0500,0,0,1,1,0,0,1,0,1,1,0,0,0.0000,0.00,0.0000,0.0000,1.0000,0.0000,0.00,0.00
8,102,Gas_Steam_Turbine_Cogen,ST,2010,Gas,61241.1,,2,0.20,0.80,0.00,0.00,0.00,0.00,40,0.1288,0.0915,0,0,1,1,0,0,1,0,1,1,0,0,0.0000,0.00,0.0000,0.0000,1.0000,0.0000,0.00,0.00
8,103,CCGT_Cogen,CC,2010,Gas,61241.1,,2,0.25,0.75,0.00,0.00,0.00,0.00,20,0.0400,0.0600,0,0,1,1,0,0,1,0,1,1,0,0,0.0000,0.00,0.0000,0.0000,1.0000,0.0000,0.00,0.00
8,104,Gas_Internal_Combustion_Engine_Cogen,IC,2010,Gas,61241.1,,1,1.00,0.00,0.00,0.00,0.00,0.00,20,0.0300,0.0500,0,0,1,1,0,0,1,0,1,1,0,0,0.0000,0.00,0.0000,0.0000,1.0000,0.0000,0.00,0.00
8,105,Bio_Gas_Internal_Combustion_Engine_Cogen,IC,2010,Bio_Gas,61241.1,,1,1.00,0.00,0.00,0.00,0.00,0.00,20,0.1100,0.0400,0,0,1,1,0,0,1,0,1,1,0,0,0.0000,0.00,0.0000,0.0000,1.0000,0.0000,0.00,0.00
8,106,Bio_Liquid_Steam_Turbine_Cogen,ST,2010,Bio_Liquid,61241.1,,2,0.20,0.80,0.00,0.00,0.00,0.00,40,0.1288,0.0915,0,0,1,1,0,0,1,0,1,1,0,0,0.0000,0.00,0.0000,0.0000,1.0000,0.0000,0.00,0.00
8,107,Bio_Solid_Steam_Turbine_Cogen,ST,2010,Bio_Solid,61241.1,,2,0.20,0.80,0.00,0.00,0.00,0.00,40,0.1288,0.0915,0,0,1,1,0,0,1,0,1,1,0,0,0.0000,0.00,0.0000,0.0000,1.0000,0.0000,0.00,0.00
8,110,CCGT_Cogen_CCS,CC,2020,Gas_CCS,61241.1,,2,0.25,0.75,0.00,0.00,0.00,0.00,20,0.0400,0.0600,0,0,1,1,0,0,1,0,1,1,1,0,0.0000,0.00,0.0000,0.0000,1.0000,0.0000,0.00,0.00
8,111,Gas_Combustion_Turbine_Cogen_CCS,GT,2020,Gas_CCS,61241.1,,2,0.25,0.75,0.00,0.00,0.00,0.00,20,0.0300,0.0500,0,0,1,1,0,0,1,0,1,1,1,0,0.0000,0.00,0.0000,0.0000,1.0000,0.0000,0.00,0.00
8,112,Gas_Internal_Combustion_Engine_Cogen_CCS,IC,2020,Gas_CCS,61241.1,,2,0.25,0.75,0.00,0.00,0.00,0.00,20,0.0300,0.0500,0,0,1,1,0,0,1,0,1,1,1,0,0.0000,0.00,0.0000,0.0000,1.0000,0.0000,0.00,0.00
8,113,Gas_Steam_Turbine_Cogen_CCS,ST,2020,Gas_CCS,61241.1,,2,0.20,0.80,0.00,0.00,0.00,0.00,40,0.1288,0.0915,0,0,1,1,0,0,1,0,1,1,1,0,0.0000,0.00,0.0000,0.0000,1.0000,0.0000,0.00,0.00
8,116,Bio_Solid_Steam_Turbine_Cogen_CCS,ST,2020,Bio_Solid_CCS,61241.1,,2,0.20,0.80,0.00,0.00,0.00,0.00,40,0.1288,0.0915,0,0,1,1,0,0,1,0,1,1,1,0,0.0000,0.00,0.0000,0.0000,1.0000,0.0000,0.00,0.00
8,117,Coal_Steam_Turbine_Cogen_CCS,ST,2020,Coal_CCS,61241.1,,2,0.20,0.80,0.00,0.00,0.00,0.00,40,0.0600,0.1000,0,0,1,1,0,0,1,0,1,1,1,0,0.0000,0.00,0.0000,0.0000,1.0000,0.0000,0.00,0.00
