Fuel,Region,a2011,b2011,c2011,d2011,e2011,a2012,b2012,c2012,d2012,e2012,a2013,b2013,c2013,d2013,e2013,a2014,b2014,c2014,d2014,e2014,a2015,b2015,c2015,d2015,e2015,a2016,b2016,c2016,d2016,e2016,a2017,b2017,c2017,d2017,e2017,a2018,b2018,c2018,d2018,e2018,a2019,b2019,c2019,d2019,e2019,a2020,b2020,c2020,d2020,e2020,a2021,b2021,c2021,d2021,e2021,a2022,b2022,c2022,d2022,e2022,a2023,b2023,c2023,d2023,e2023,a2024,b2024,c2024,d2024,e2024,a2025,b2025,c2025,d2025,e2025,a2026,b2026,c2026,d2026,e2026,a2027,b2027,c2027,d2027,e2027,a2028,b2028,c2028,d2028,e2028,a2029,b2029,c2029,d2029,e2029,a2030,b2030,c2030,d2030,e2030,a2031,b2031,c2031,d2031,e2031,a2032,b2032,c2032,d2032,e2032,a2033,b2033,c2033,d2033,e2033,a2034,b2034,c2034,d2034,e2034,a2035,b2035,c2035,d2035,e2035
,,Reference,High growth,Low growth,Low EUR,High TRR,Reference,High growth,Low growth,Low EUR,High TRR,Reference,High growth,Low growth,Low EUR,High TRR,Reference,High growth,Low growth,Low EUR,High TRR,Reference,High growth,Low growth,Low EUR,High TRR,Reference,High growth,Low growth,Low EUR,High TRR,Reference,High growth,Low growth,Low EUR,High TRR,Reference,High growth,Low growth,Low EUR,High TRR,Reference,High growth,Low growth,Low EUR,High TRR,Reference,High growth,Low growth,Low EUR,High TRR,Reference,High growth,Low growth,Low EUR,High TRR,Reference,High growth,Low growth,Low EUR,High TRR,Reference,High growth,Low growth,Low EUR,High TRR,Reference,High growth,Low growth,Low EUR,High TRR,Reference,High growth,Low growth,Low EUR,High TRR,Reference,High growth,Low growth,Low EUR,High TRR,Reference,High growth,Low growth,Low EUR,High TRR,Reference,High growth,Low growth,Low EUR,High TRR,Reference,High growth,Low growth,Low EUR,High TRR,Reference,High growth,Low growth,Low EUR,High TRR,Reference,High growth,Low growth,Low EUR,High TRR,Reference,High growth,Low growth,Low EUR,High TRR,Reference,High growth,Low growth,Low EUR,High TRR,Reference,High growth,Low growth,Low EUR,High TRR,Reference,High growth,Low growth,Low EUR,High TRR
Gas,US_Electric,7.675732,7.675731,7.675733,7.675733,7.891231,8.030215,8.054206,7.989584,7.974204,8.549268,7.477073,7.433802,7.344658,7.155284,8.438126,7.823302,7.711035,7.673119,7.425478,9.340288,8.25342,8.148092,8.148866,7.561695,10.286447,8.162612,8.134984,8.012386,7.439331,10.444684,8.104382,8.086753,7.958456,7.243813,10.62029,8.10945,8.124898,7.990672,7.170795,10.798869,8.164459,8.234869,8.007877,7.092852,10.801591,8.046716,8.211046,7.938348,6.993824,10.732408,8.023438,8.218535,7.834567,6.912573,10.680198,7.929634,8.214434,7.731636,6.831399,10.511199,7.951903,8.261394,7.717423,6.82229,10.511239,8.009222,8.337225,7.74439,6.838371,10.598791,8.045533,8.458101,7.771733,6.891363,10.76834,8.139179,8.63075,7.812107,6.982417,11.015154,8.282137,8.786099,7.879533,7.100761,11.227848,8.418296,8.978934,7.987768,7.180117,11.522149,8.538756,9.077071,8.103534,7.263012,11.714412,8.657732,9.190402,8.214127,7.370889,12.004984,8.744521,9.297448,8.306885,7.553029,12.26575,8.876969,9.369678,8.42724,7.78692,12.37591,8.985707,9.423472,8.555367,7.837323,12.583402,9.07894,9.479589,8.703099,7.841764,12.661427,9.157715,9.576222,8.842978,7.837022,12.902561
Gas,CA,0.756129,0.756047,0.756162,0.756239,0.756222,0.83551,0.837314,0.83274,0.833546,0.846485,0.736503,0.676876,0.745492,0.711561,0.822444,0.731103,0.681031,0.742242,0.705931,0.834828,0.739563,0.695971,0.7362,0.718272,0.842983,0.746072,0.707726,0.737049,0.721393,0.904789,0.752611,0.726811,0.737892,0.729701,0.940423,0.759928,0.745477,0.73775,0.733341,0.970349,0.820982,0.819854,0.785098,0.77749,0.987943,0.770778,0.843993,0.750042,0.741322,0.875224,0.773712,0.889823,0.757741,0.743693,0.860545,0.778584,0.786868,0.771879,0.73331,0.853401,0.76759,0.807169,0.780222,0.736325,0.865981,0.771421,0.814044,0.784245,0.73134,0.875211,0.809764,0.858246,0.791018,0.758322,0.904759,0.836823,0.902623,0.810008,0.789665,0.927138,0.877827,1.039795,0.835832,0.879794,0.949435,0.88785,1.084635,0.836746,0.90054,0.95125,0.873996,1.104811,0.857522,0.931993,1.01284,0.943988,1.110648,0.851346,0.956882,1.004601,0.986082,1.115425,0.854548,0.992404,1.049184,1.038211,1.118495,0.893231,1.021554,1.025233,1.059172,1.126219,0.914034,1.059868,1.000354,1.104806,1.134548,0.941604,1.060463,1.002247,1.09578,1.159432,1.057388,1.053675,1.051758
Gas,NWPP,0.195096,0.194982,0.195041,0.195142,0.195864,0.278338,0.2739,0.274949,0.275405,0.280088,0.272973,0.2752,0.285005,0.270665,0.326933,0.260701,0.266041,0.278452,0.249769,0.348762,0.29842,0.278325,0.285454,0.266891,0.343237,0.285103,0.274342,0.28814,0.259653,0.353964,0.304442,0.298136,0.292173,0.268035,0.360668,0.297752,0.305456,0.289803,0.275889,0.352953,0.298297,0.312541,0.300006,0.2828,0.360758,0.278578,0.318709,0.273256,0.274335,0.35627,0.27392,0.321809,0.275451,0.256546,0.331867,0.275794,0.344837,0.267859,0.272729,0.314272,0.292476,0.361592,0.270607,0.287243,0.314696,0.311674,0.361073,0.281025,0.294553,0.330461,0.306294,0.357729,0.28141,0.301097,0.338919,0.313701,0.372619,0.281458,0.307449,0.340131,0.331584,0.349221,0.300957,0.316359,0.34963,0.344951,0.330356,0.303541,0.307988,0.374226,0.338172,0.350851,0.316048,0.308071,0.386319,0.340168,0.366654,0.329418,0.297684,0.399391,0.342058,0.358692,0.329627,0.275607,0.416025,0.357596,0.35,0.33972,0.271734,0.432193,0.347386,0.357921,0.354168,0.264066,0.459065,0.32369,0.334647,0.365228,0.26374,0.479954,0.319156,0.306979,0.344413,0.265762,0.481677
Gas,Rockies,0.029665,0.029654,0.029665,0.029665,0.029665,0.02951,0.02951,0.02951,0.02951,0.02951,0.029469,0.029579,0.029453,0.029466,0.029717,0.029419,0.029678,0.029153,0.02941,0.029646,0.029581,0.029967,0.030283,0.029395,0.042692,0.029927,0.030354,0.033191,0.029472,0.044931,0.030436,0.030922,0.037368,0.02972,0.054857,0.031751,0.032044,0.044281,0.030389,0.071024,0.032897,0.036397,0.040162,0.031722,0.073703,0.032269,0.038026,0.029505,0.030592,0.050527,0.032789,0.049737,0.029665,0.030824,0.045348,0.033397,0.035733,0.029836,0.031038,0.04399,0.034565,0.041812,0.03004,0.031219,0.048102,0.035688,0.042688,0.030216,0.032928,0.052176,0.03639,0.053071,0.037285,0.035939,0.056384,0.035811,0.044349,0.030594,0.035107,0.056771,0.047639,0.05916,0.039305,0.036944,0.06045,0.041119,0.056266,0.040858,0.040841,0.070343,0.037853,0.062526,0.04394,0.043676,0.082467,0.055254,0.063953,0.042067,0.046038,0.083025,0.053107,0.054775,0.044163,0.051271,0.080659,0.052349,0.059477,0.046976,0.0506,0.085032,0.060503,0.064685,0.050359,0.04993,0.085923,0.059205,0.064686,0.053843,0.052026,0.095138,0.06173,0.084282,0.063629,0.055568,0.101042
Gas,Southwest,0.321199,0.319486,0.321188,0.321209,0.321156,0.319279,0.322626,0.320286,0.322504,0.319787,0.282334,0.292107,0.275483,0.284216,0.325359,0.238145,0.247664,0.252412,0.238226,0.341169,0.313985,0.315084,0.279916,0.309453,0.477942,0.304021,0.317302,0.277165,0.296761,0.490477,0.315578,0.325254,0.284081,0.300246,0.512527,0.314768,0.277022,0.278756,0.245745,0.510034,0.315474,0.276696,0.278168,0.248641,0.530129,0.307357,0.283722,0.333447,0.286803,0.5937,0.336621,0.300751,0.332221,0.321951,0.582495,0.344102,0.393944,0.322383,0.337237,0.551259,0.344311,0.400031,0.314262,0.328056,0.488474,0.326848,0.39142,0.303904,0.318981,0.470307,0.294004,0.355264,0.281286,0.29302,0.432811,0.289397,0.376159,0.284052,0.298043,0.437624,0.297123,0.289555,0.308365,0.25346,0.440276,0.314631,0.298034,0.319683,0.252454,0.479536,0.33464,0.286019,0.333987,0.244788,0.45494,0.317027,0.2988,0.351727,0.255514,0.489201,0.296593,0.30676,0.363105,0.276983,0.462369,0.291693,0.31572,0.365541,0.305972,0.493677,0.291839,0.323507,0.364785,0.294959,0.516893,0.295409,0.330147,0.360978,0.28545,0.532861,0.297373,0.366591,0.356093,0.29131,0.524996
Gas,US,24.51655,24.514257,24.515654,24.515085,24.736593,25.198181,25.223404,25.157347,25.129002,25.807566,24.348509,24.449816,24.164259,23.977446,25.571259,24.889263,24.929554,24.643559,24.400446,26.799936,25.3922,25.47834,25.132133,24.586132,27.967886,25.387867,25.56596,24.996038,24.513189,28.275305,25.367083,25.580042,24.928955,24.325598,28.539602,25.419468,25.680424,24.967457,24.272388,28.779644,25.523899,25.879395,24.990154,24.224932,28.893415,25.465088,25.940248,24.931355,24.155775,28.934544,25.475351,26.027714,24.819864,24.076384,28.976868,25.437027,26.089788,24.72086,23.994596,28.900963,25.432871,26.149742,24.639935,23.93577,28.944546,25.480366,26.247232,24.623266,23.874949,29.069801,25.526825,26.409676,24.623785,23.900005,29.277725,25.607527,26.589792,24.612123,23.939125,29.565708,25.743092,26.777349,24.634737,24.025026,29.804348,25.874146,27.028046,24.677761,24.075039,30.120378,25.992449,27.161753,24.759535,24.140806,30.357367,26.095842,27.317554,24.814741,24.204254,30.680283,26.175764,27.493422,24.887465,24.526695,30.994221,26.347364,27.617107,24.969954,24.920414,31.144316,26.441755,27.705791,25.08259,24.983957,31.40506,26.547178,27.842009,25.201035,24.989687,31.539402,26.632999,28.165966,25.326906,25.009483,31.871775
Gas,Canada,3.483648,,,,,3.565568,,,,,3.569664,,,,,3.590144,,,,,3.591168,,,,,3.667968,,,,,3.69664,,,,,3.740672,,,,,3.769344,,,,,3.831808,,,,,3.935232,,,,,4.025344,,,,,4.10112,,,,,4.187136,,,,,4.2752,,,,,4.355072,,,,,4.43392,,,,,4.507648,,,,,4.584448,,,,,4.667392,,,,,4.750336,,,,,4.834304,,,,,4.928512,,,,,5.049344,,,,,5.161984,,,,
Gas,Mexico/Chile,2.203648,,,,,2.249728,,,,,2.363392,,,,,2.434048,,,,,2.552832,,,,,2.710528,,,,,2.820096,,,,,2.945024,,,,,3.09248,,,,,3.239936,,,,,3.401728,,,,,3.555328,,,,,3.721216,,,,,3.909632,,,,,4.072448,,,,,4.227072,,,,,4.37248,,,,,4.529152,,,,,4.688896,,,,,4.846592,,,,,5.028864,,,,,5.208064,,,,,5.374976,,,,,5.532672,,,,,5.666816,,,,
Gas,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,